阿布哈兹语 Abkhazian ab
普什图语 Pushto ps
齐切瓦语 Nyanja ny
契维语 Twi tw
切罗基语 Cherokee chr
日语 Japanese ja
瑞典语 Swedish sv
萨摩亚语 Samoan sm
桑戈语 Sango sg
僧伽罗语 Sinhala si
上索布语 Upper Sorbian hsb
世界语 Esperanto eo
斯洛文尼亚语 Slovenian sl
斯瓦希里语 Swahili sw
索马里语 Somali so
斯洛伐克语 Slovak sk
他加禄语 Tagalog tl
塔吉克语 Tajik tg
塔希提语 Tahitian ty
泰卢固语 Telugu te
泰米尔语 Tamil ta
泰语 Thai th
汤加语（汤加群岛） Tonga (Tonga Islands) to
汤加语（赞比亚） Tonga (Zambia) toi
提格雷尼亚语 Tigrinya ti
图瓦卢语 Tuvalu tvl
图瓦语 Tuvinian tyv
土耳其语 Turkish tr
土库曼语 Turkmen tk
瓦隆语 Walloon wa
瓦瑞语（菲律宾） Waray (Philippines) war
威尔士语 Welsh cy
文达语 Venda ve
沃拉普克语 Volapük vo
沃洛夫语 Wolof wo
乌德穆尔特语 Udmurt udm
乌尔都语 Urdu ur
乌孜别克语 Uzbek uz
西班牙语 Spanish es
西方国际语 Interlingue ie
西弗里斯兰语 Western Frisian fy
西里西亚语 Silesian szl
希伯来语 Hebrew he
希利盖农语 Hiligaynon hil
夏威夷语 Hawaiian haw
现代希腊语 Modern Greek el
新共同语言 Lingua Franca Nova lfn
信德语 Sindhi sd
匈牙利语 Hungarian hu
修纳语 Shona sn
宿务语 Cebuano ceb
叙利亚语 Syriac syr
巽他语 Sundanese su
亚美尼亚语 Armenian hy
亚齐语 Achinese ace
伊班语 Iban iba
伊博语 Igbo ig
伊多语 Ido io
伊洛卡诺语 Iloko ilo
伊努克提图特语 Inuktitut iu
意大利语 Italian it
意第绪语 Yiddish yi
因特语 Interlingua ia
印地语 Hindi hi
印度尼西亚语 Indonesia id
印古什语 Ingush inh
英语 English en
约鲁巴语 Yoruba yo
越南语 Vietnamese vi
扎扎其语 Zaza zza
爪哇语 Javanese jv
中文 Chinese zh
中文繁体 Traditional Chinese zh-TW
祖鲁语 Zulu zu
